Source_File,Mode,Speed_Label,Speed_Value,Force_Limit_g,Force_Trigger_g,Trial_Index,Trial_Name,Sample_Count,Median_dt_s,Baseline_Mean_g,Baseline_Std_g,Onset_Threshold_g,Onset_Trial_Elapsed_s,Onset_Force_g,Onset_Angle,Peak_Force_g,Peak_Force_Trial_Elapsed_s,Peak_Force_Angle,Overshoot_g
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,7,speed_07,101,0.012346,-2.140000,0.310483,17.860000,2.547315,24.200000,658,1690.000000,3.360681,644,1590.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,8,speed_08,146,0.012429,-2.000000,0.000000,18.000000,2.439463,36.400000,655,1677.000000,3.326439,644,1577.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,9,speed_09,122,0.012444,-2.540000,0.810185,17.460000,2.012329,26.000000,657,1664.000000,2.829215,644,1564.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,10,speed_10,112,0.012364,-2.040000,0.120000,17.960000,2.186109,63.000000,647,1558.000000,3.035323,645,1458.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,11,speed_11,122,0.012429,-2.140000,0.310483,17.860000,2.673622,26.600000,657,1578.000000,3.503608,645,1478.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,12,speed_12,137,0.012373,-2.000000,0.000000,18.000000,2.419131,61.600000,657,1614.000000,3.209456,644,1514.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,13,speed_13,182,0.012324,-2.000000,0.000000,18.000000,2.197006,25.400000,657,1664.000000,3.011049,644,1564.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,14,speed_14,119,0.012456,-3.920000,0.240000,16.080000,2.127063,70.000000,646,1701.000000,2.945612,644,1601.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,15,speed_15,252,0.012442,-2.580000,0.882950,17.420000,2.017756,26.000000,657,1681.000000,2.848776,644,1581.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,16,speed_16,127,0.012436,-4.000000,0.000000,16.000000,2.319671,70.000000,646,1700.000000,3.139234,644,1600.000000
